CSDUID,CSDNAME,full_time_medium_income,average_household_size,%_low_income,total_dwelling_count,dwelling_need_regular_or_minor_repair,dwelling_need_major_repair,%_in_core_housing_need_owner,%_in_core_housing_need_tenant
2459035,Contrecoeur,59200,2,7,4115,3945,170,1,9
2460005,Charlemagne,53600,2,11,3150,3005,145,3,13
2460013,Repentigny,63200,3,6,34175,32540,1640,2,15
2460020,Saint-Sulpice,56400,2,7,1465,1410,60,2,11
2460028,L'Assomption,60400,3,7,9205,8845,365,2,15
2460037,L'Épiphanie,53600,3,11,3580,3380,200,3,15
2461005,Saint-Paul,56400,2,7,2700,2585,120,1,7
2461013,Crabtree,52000,2,10,1755,1670,90,0,6
2461020,Saint-Pierre,48000,2,10,125,120,10,0,0
2461025,Joliette,48400,2,21,10570,9895,675,1,13
2461027,Saint-Thomas,55600,2,8,1475,1440,35,0,8
2461030,Notre-Dame-des-Prairies,56800,2,10,4445,4315,135,1,7
2461035,Saint-Charles-Borromée,54000,2,13,6850,6625,220,1,7
2461040,Saint-Ambroise-de-Kildare,54400,2,10,1695,1615,75,0,5
2461045,Notre-Dame-de-Lourdes,51200,2,11,1295,1220,80,3,8
2461050,Sainte-Mélanie,48000,2,10,1390,1295,100,0,0
2462007,Saint-Félix-de-Valois,49600,2,13,3055,2925,130,2,5
2462015,Saint-Jean-de-Matha,49200,2,14,2260,2130,125,2,7
2462020,Sainte-Béatrix,42800,2,14,1040,950,95,2,0
2462025,Saint-Alphonse-Rodriguez,48400,2,15,1720,1575,140,2,11
2462030,Sainte-Marcelline-de-Kildare,56400,2,12,830,760,70,2,0
2462037,Rawdon,51600,2,15,5445,5010,440,2,9
2462047,Chertsey,50000,2,19,2720,2420,300,2,11
2462053,Entrelacs,57600,2,17,590,550,40,12,0
2462055,Notre-Dame-de-la-Merci,61600,2,18,615,590,25,7,0
2462060,Saint-Donat,57200,2,14,2435,2275,160,2,3
2462065,Saint-Côme,44800,2,17,1320,1225,90,9,16
2462070,Sainte-Émélie-de-l'Énergie,49200,2,19,850,765,80,9,36
2462075,Saint-Damien,44000,2,17,1220,1110,110,9,0
2462080,Saint-Zénon,52400,2,21,740,710,30,9,19
2462085,Saint-Michel-des-Saints,48400,2,17,1270,1200,70,7,22
2462802,Communauté Atikamekw de Manawan,37600,6,25,355,230,125,...,...
2462902,Lac-Minaki,x,x,x,x,x,x,x,x
2462904,Lac-Devenyns,x,x,x,x,x,x,x,x
2462906,Baie-de-la-Bouteille,x,x,x,x,x,x,x,x
2462908,Lac-Matawin,x,x,x,x,x,x,x,x
2462910,Lac-Legendre,x,x,x,x,x,x,x,x
2462912,Saint-Guillaume-Nord,x,2,x,50,30,20,0,...
2462914,Lac-des-Dix-Milles,x,x,x,x,x,x,x,x
2462916,Lac-Santé,x,x,x,x,x,x,x,x
2462918,Baie-Obaoca,x,x,x,x,x,x,x,x
2462919,Lac-Cabasta,x,x,x,x,x,x,x,x
2462920,Baie-Atibenne,x,x,x,x,x,x,x,x
2462922,Lac-du-Taureau,x,x,x,x,x,x,x,x
2463005,Sainte-Marie-Salomé,46000,2,9,505,455,55,0,0
2463013,Saint-Jacques,50000,2,12,1890,1810,80,0,0
2463023,Saint-Alexis,52400,3,10,555,510,45,0,0
2463030,Saint-Esprit,48000,2,13,900,800,100,0,6
2463035,Saint-Roch-de-l'Achigan,54000,3,11,2165,2045,125,2,7
2463040,Saint-Roch-Ouest,58000,3,5,95,85,10,0,...
2463048,Saint-Lin--Laurentides,48000,3,10,9290,8825,465,3,13
2463055,Saint-Calixte,48400,2,17,3145,2790,355,2,11
2463060,Sainte-Julienne,51600,2,11,4575,4250,320,2,5
2463065,Saint-Liguori,56800,2,10,865,785,80,0,0
2464008,Terrebonne,62000,3,6,45250,43310,1940,2,14
2464015,Mascouche,62000,3,6,19985,19385,595,2,10
2465005,Laval,60400,3,9,169785,160990,8795,2,15
2466007,Montréal-Est,52400,2,16,2020,1790,230,2,17
2466023,Montréal,58400,2,17,816355,746280,70075,4,15
2466032,Westmount,100000,2,13,8590,7860,730,2,12
2466047,Montréal-Ouest,99000,3,7,1945,1745,200,2,15
2466058,Côte-Saint-Luc,57600,2,14,14600,13440,1160,4,18
2466062,Hampstead,90000,3,7,2490,2315,180,2,11
2466072,Mont-Royal,101000,3,11,7735,7190,540,2,13
2466087,Dorval,64000,2,10,8715,7985,730,2,17
2466092,L'Île-Dorval,x,x,x,x,x,x,x,x
2466097,Pointe-Claire,74000,2,8,13310,12550,765,2,12
2466102,Kirkland,85000,3,7,6665,6380,290,2,10
2466107,Beaconsfield,95000,3,6,6750,6360,395,2,9
2466112,Baie-D'Urfé,114000,3,6,1325,1245,80,3,0
2466117,Sainte-Anne-de-Bellevue,67500,2,12,2105,1925,185,4,14
2466127,Senneville,92000,3,7,355,310,45,0,0
2466142,Dollard-Des Ormeaux,62000,3,8,17380,16160,1220,2,17
2467005,Saint-Mathieu,63600,3,8,940,870,65,5,0
2467010,Saint-Philippe,66000,3,5,2860,2770,85,1,8
2467015,La Prairie,73500,2,8,11050,10535,515,2,16
2467020,Candiac,82000,3,5,8735,8355,375,2,10
2467025,Delson,61600,2,7,3475,3295,180,1,12
2467030,Sainte-Catherine,61200,2,6,6910,6625,280,1,14
2467035,Saint-Constant,65000,3,5,11315,10870,440,1,12
2467040,Saint-Isidore,55200,3,7,1070,1000,70,0,14
2467045,Mercier,62800,3,6,5400,5225,180,2,10
2467050,Châteauguay,56800,3,10,19920,18700,1215,3,18
2467055,Léry,66500,2,7,985,905,85,0,18
2467802,Kahnawake,x,x,x,x,x,x,x,x
2468005,Saint-Bernard-de-Lacolle,49600,3,11,620,545,75,9,0
2468010,Hemmingford,50000,2,17,380,350,30,7,23
2468015,Hemmingford,46000,2,10,825,740,80,7,25
2468020,Sainte-Clotilde,48800,3,11,785,745,40,0,20
2468025,Saint-Patrice-de-Sherrington,43600,3,10,765,715,55,0,9
2468030,Napierville,55200,2,8,1640,1560,75,0,4
2468035,Saint-Cyprien-de-Napierville,53600,3,8,685,650,45,0,0
