CSDUID,CSDNAME,full_time_medium_income,average_household_size,%_low_income,total_dwelling_count,dwelling_need_regular_or_minor_repair,dwelling_need_major_repair,%_in_core_housing_need_owner,%_in_core_housing_need_tenant
1001101,"Division No.  1, Subd. V",x,2,x,20,20,0,0,...
1001105,Portugal Cove South,x,2,x,40,40,0,0,...
1001113,Trepassey,63200,2,26,205,185,20,10,...
1001120,St. Shott's,x,2,x,45,45,0,0,...
1001124,"Division No.  1, Subd. U",52800,2,10,630,600,25,4,0
1001126,Cape Broyle,48800,2,14,230,220,10,0,...
1001131,Renews-Cappahayden,x,2,15,170,145,25,16,...
1001136,Fermeuse,x,2,15,135,125,10,0,0
1001140,Port Kirwan,x,2,x,x,x,x,x,x
1001144,Aquaforte,x,2,x,40,40,0,0,...
1001149,Ferryland,54400,2,16,190,170,15,0,...
1001155,"Division No.  1, Subd. W",73500,2,16,225,220,10,0,...
1001169,St. Vincent's-St. Stephen's-Peter's River,x,2,29,120,110,10,0,...
1001174,Gaskiers-Point La Haye,x,2,x,110,105,0,0,...
1001178,St. Mary's,x,2,19,155,140,10,0,...
1001181,Riverhead,x,2,x,105,95,10,0,...
1001186,Admirals Beach,x,2,x,50,50,0,0,...
1001192,St. Joseph's,x,2,x,45,45,0,0,...
1001197,Mount Carmel-Mitchells Brook-St. Catherine's,55600,2,19,210,180,30,13,0
1001203,"Division No.  1, Subd. X",65000,2,15,265,250,10,0,0
1001207,Colinet,x,2,x,65,65,0,0,...
1001214,"Division No.  1, Subd. C",x,2,x,45,40,0,0,...
1001219,Branch,x,2,x,80,80,0,0,...
1001225,Point Lance,x,2,x,45,45,0,0,...
1001228,St. Bride's,...,2,18,180,165,10,0,0
1001234,"Division No.  1, Subd. B",63200,2,15,175,145,25,0,...
1001240,Placentia,55200,2,17,1540,1470,75,3,12
1001254,Fox Harbour,x,2,x,130,120,10,0,...
1001259,"Division No.  1, Subd. A",46400,2,20,310,295,15,0,...
1001263,Long Harbour-Mount Arlington Heights,x,2,x,105,105,0,0,...
1001267,Southern Harbour,x,2,18,135,115,20,0,...
1001270,Arnold's Cove,67000,2,15,435,420,10,0,25
1001274,Come By Chance,x,2,x,75,75,0,0,...
1001277,Sunnyside,57600,2,17,210,215,0,8,0
1001281,Chance Cove,x,2,x,115,105,15,15,...
1001285,Norman's Cove-Long Cove,41200,2,20,285,260,25,0,0
1001289,Chapel Arm,97000,2,13,210,195,20,0,...
1001293,"Division No.  1, Subd. Y",59200,2,17,530,505,25,0,33
1001298,Whitbourne,53600,2,13,420,375,45,9,33
1001304,"Division No.  1, Subd. E",47200,2,20,1260,1190,65,2,17
1001308,Whiteway,53600,2,15,135,135,0,0,...
1001312,Heart's Delight-Islington,41600,2,22,315,305,15,0,0
1001316,Heart's Desire,x,2,x,85,70,15,0,...
1001321,"Division No.  1, Subd. F",70000,2,19,225,225,0,0,...
1001325,Heart's Content,x,2,18,170,150,15,0,...
1001328,New Perlican,x,2,x,85,70,10,0,...
1001332,Winterton,41600,2,18,205,195,15,13,...
1001335,Hant's Harbour,49200,2,27,175,160,15,0,0
1001339,"Division No.  1, Subd. G",60000,2,22,835,780,60,6,44
1001343,Old Perlican,48800,2,13,260,240,15,0,0
1001347,Bay de Verde,66000,2,15,170,170,0,0,0
1001352,Small Point-Adam's Cove-Blackhead-Broad Cove,48400,2,24,205,175,35,0,...
1001357,"Division No.  1, Subd. H",51200,2,19,175,165,10,0,...
1001361,Salmon Cove,40400,2,20,345,325,10,0,0
1001365,Victoria,50000,2,19,705,675,30,0,26
1001370,Carbonear,54400,2,20,2095,1965,130,0,11
1001374,"Division No.  1, Subd. I",63600,3,10,125,125,0,0,...
1001375,Bryant's Cove,52400,2,20,135,135,0,0,...
1001379,Harbour Grace,52000,2,21,1305,1210,95,3,26
1001385,Upper Island Cove,48400,2,16,585,535,50,0,0
1001391,"Division No.  1, Subd. J",x,x,x,x,x,x,x,x
1001394,Bishop's Cove,x,2,18,115,110,10,0,0
1001396,Spaniard's Bay,56400,2,19,1110,1025,85,4,27
1001405,"Division No.  1, Subd. K",x,x,x,x,x,x,x,x
1001409,Bay Roberts,58000,2,15,2490,2335,150,2,27
1001415,"Division No.  1, Subd. L",52800,2,19,375,350,20,0,0
1001421,"Division No.  1, Subd. M",62000,2,16,530,495,30,3,0
1001426,North River,46800,2,14,255,250,0,0,0
1001429,Clarke's Beach,50000,2,20,600,580,20,7,15
1001434,South River,67500,2,13,285,255,25,0,0
1001437,Cupids,46400,2,19,350,325,25,0,36
1001441,"Division No.  1, Subd. N",58400,2,19,160,140,15,0,0
1001446,Brigus,45600,2,18,325,315,10,0,0
1001452,"Division No.  1, Subd. O",53600,2,17,415,400,10,0,0
1001456,Colliers,44400,2,10,285,250,35,0,0
1001461,Conception Harbour,59200,2,14,290,275,10,0,0
1001464,Avondale,52400,2,22,265,250,15,0,0
1001469,Harbour Main-Chapel's Cove-Lakeview,54000,2,9,465,450,15,0,0
1001472,Holyrood,72000,2,11,995,965,30,0,17
1001485,Conception Bay South,64500,3,8,10710,10405,310,4,24
1001490,"Division No.  1, Subd. R",x,2,37,175,140,30,16,0
1001494,Wabana,48400,2,41,955,880,75,9,8
1001504,Portugal Cove-St. Philip's,74500,3,6,3170,2985,185,3,16
1001505,Pouch Cove,56400,3,10,825,795,30,4,18
1001507,Flatrock,71500,3,5,655,645,10,0,0
1001509,Torbay,70500,3,7,2985,2875,115,3,18
1001511,Logy Bay-Middle Cove-Outer Cove,90000,3,5,895,875,20,3,0
1001512,Bauline,53600,3,6,140,135,10,0,0
1001517,Paradise,72500,3,5,8815,8670,145,2,17
1001519,St. John's,66000,2,15,49255,46810,2450,4,22
1001542,Mount Pearl,58400,2,10,9930,9560,370,4,26
1001551,Petty Harbour-Maddox Cove,59600,3,9,410,390,20,4,38
1001557,Bay Bulls,69500,3,8,600,580,15,0,0
1001559,Witless Bay,75000,3,6,610,585,25,0,0
1001565,"Division No.  1, Subd. D",x,2,x,30,20,0,0,...
1002001,"Division No.  2, Subd. E",x,2,22,110,110,0,0,...
1002002,Lewin's Cove,59200,2,14,240,235,0,0,0
1002005,Burin,50400,2,18,1020,975,40,7,44
1002006,"Division No.  2, Subd. F",x,2,x,45,45,0,0,...
1002008,St. Lawrence,47600,2,17,485,430,55,7,0
1002009,"Division No.  2, Subd. G",x,x,x,x,x,x,x,x
1002011,Lawn,50000,2,15,245,220,25,9,0
1002012,Lamaline,x,2,x,115,110,0,0,...
1002013,Lord's Cove,x,2,x,95,75,20,0,0
1002014,Point May,x,2,33,115,100,15,19,...
1002015,Point au Gaul,x,2,x,30,30,0,0,...
1002016,"Division No.  2, Subd. H",x,2,x,95,95,0,0,...
1002017,Frenchman's Cove,x,2,x,70,65,10,0,...
1002018,Fortune,38800,2,22,615,590,35,5,18
1002019,Grand Bank,55200,2,22,1030,980,50,6,31
1002021,Garnish,45600,2,16,250,240,10,6,0
1002022,"Division No.  2, Subd. D",x,2,x,90,90,0,0,...
1002023,Winterland,77500,2,12,155,150,0,0,0
1002024,Marystown,55200,2,20,2330,2235,95,2,16
1002025,Fox Cove-Mortier,48400,2,19,130,125,0,0,...
1002026,"Division No.  2, Subd. I",x,2,x,70,65,0,0,...
1002027,Bay L'Argent,x,2,x,130,115,15,0,0
1002029,"Division No.  2, Subd. J",x,x,x,x,x,x,x,x
1002030,Grand Le Pierre,x,2,x,70,70,0,0,...
1002031,"Division No.  2, Subd. C",36800,2,19,230,215,15,0,...
1002033,Rushoon,x,2,x,130,120,10,0,...
1002034,Parkers Cove,x,2,x,100,95,10,0,...
1002036,Terrenceville,38400,2,21,200,190,0,0,...
1002037,Red Harbour,x,2,x,85,70,10,0,...
1002039,English Harbour East,x,2,x,55,55,0,0,...
1002040,Baine Harbour,x,2,x,55,55,0,0,...
1002041,St. Bernard's-Jacques Fontaine,92000,2,23,210,205,0,8,...
1002044,"Division No.  2, Subd. L",x,x,x,x,x,x,x,x
1002048,"Division No.  2, Subd. K",51200,2,16,270,255,10,0,...
1002055,Little Bay East,x,2,x,30,30,0,0,...
1003001,"Division No.  3, Subd. A",x,3,x,x,x,x,x,x
1003002,Rencontre East,x,3,x,50,50,0,0,...
1003003,St. Jacques-Coomb's Cove,56000,2,20,270,250,20,0,0
1003004,Belleoram,58000,2,35,155,135,20,17,0
1003005,Pool's Cove,x,2,x,70,65,10,0,...
1003006,"Division No.  3, Subd. B",x,x,x,x,x,x,x,x
1003008,Harbour Breton,60400,2,16,635,625,10,3,32
1003009,"Division No.  3, Subd. C",x,2,x,60,60,0,0,...
1003010,Seal Cove (Fortune Bay),x,2,x,50,45,0,0,...
1003011,Hermitage-Sandyville,46000,2,18,190,190,0,0,...
1003012,Gaultois,x,2,x,25,25,0,0,...
1003014,"Division No.  3, Subd. D",x,2,x,65,55,0,0,...
1003018,Milltown-Head of Bay d'Espoir,53200,2,21,345,330,10,6,...
1003019,St. Alban's,60400,2,23,560,515,45,5,0
1003020,Morrisville,x,2,x,40,40,0,0,...
1003021,"Division No.  3, Subd. E",x,2,x,25,25,0,0,...
1003024,"Division No.  3, Subd. F",x,2,x,45,45,0,0,...
1003026,Ramea,...,2,28,205,205,0,0,...
1003028,Burgeo,45200,2,28,570,530,40,7,0
1003031,"Division No.  3, Subd. H",59600,2,15,255,245,10,0,...
1003032,Isle aux Morts,63200,2,21,240,230,0,0,0
1003033,Burnt Islands,62000,2,12,220,220,0,0,...
1003034,Channel-Port aux Basques,58800,2,16,1675,1605,75,2,10
1003038,"Division No.  3, Subd. I",x,2,x,30,30,0,0,...
1003042,"Division No.  3, Subd. J",x,x,x,x,x,x,x,x
1003045,Rose Blanche-Harbour le Cou,...,2,30,175,160,10,0,...
1003801,Samiajij Miawpukek,54800,3,6,350,315,40,...,...
1004001,"Division No.  4, Subd. A",58800,2,19,750,700,45,4,0
1004006,"Division No.  4, Subd. B",54400,2,27,555,495,60,10,0
1004011,"Division No.  4, Subd. C",58800,2,31,325,290,40,11,0
1004013,St. George's,51600,2,22,530,475,50,15,0
1004016,"Division No.  4, Subd. D",48000,2,30,600,515,80,10,32
1004017,Gallants,x,2,x,25,15,10,0,...
1004018,Stephenville Crossing,52800,2,27,755,710,40,7,51
1004019,Stephenville,52000,2,26,3190,2980,210,1,19
1004020,Kippens,63600,2,13,760,715,45,0,0
1004021,Port au Port East,49200,2,24,205,180,25,11,0
1004022,"Division No.  4, Subd. E",39200,2,34,710,640,70,6,42
1004033,Cape St. George,34800,2,30,380,330,50,10,43
1004037,Lourdes,36400,2,32,220,195,20,13,18
1004042,Port au Port West-Aguathuna-Felix Cove,50400,2,28,205,185,15,0,43
1005001,"Division No.  5, Subd. A",x,2,20,135,120,15,0,...
1005003,"Division No.  5, Subd. G",52000,2,29,225,210,10,0,0
1005004,Deer Lake,51600,2,18,2140,2010,130,3,24
1005005,Jackson's Arm,x,2,30,150,130,20,0,...
1005006,Howley,x,2,x,85,80,0,0,...
1005007,"Division No.  5, Subd. E",x,2,x,90,75,10,0,...
1005008,Hampden,48400,2,17,190,180,10,0,0
1005009,Reidville,43200,2,16,240,220,20,0,0
1005010,"Division No.  5, Subd. F",64000,2,9,305,290,20,0,0
1005011,Steady Brook,90000,2,9,175,175,0,0,0
1005012,Pasadena,67500,2,10,1495,1440,55,2,19
1005014,Cormack,55600,2,17,210,195,15,0,0
1005015,Gillams,56000,2,16,215,195,15,0,0
1005016,"Division No.  5, Subd. C",x,2,10,85,85,0,0,...
1005017,Massey Drive,74500,3,6,625,615,10,0,0
1005018,Corner Brook,55200,2,17,8865,8390,480,3,16
1005019,"Division No.  5, Subd. D",x,x,x,x,x,x,x,x
1005020,Humber Arm South,55600,2,17,695,640,60,0,25
1005022,McIvers,43600,2,13,240,215,30,0,0
1005023,Cox's Cove,46000,2,23,300,280,25,0,0
1005024,Lark Harbour,41200,2,18,230,210,20,10,0
1005025,Meadows,44000,2,14,215,185,30,0,0
1005028,Hughes Brook,x,3,x,95,90,0,0,...
1005030,Irishtown-Summerside,50400,2,16,495,450,45,0,0
1005033,Mount Moriah,59600,3,13,275,265,10,0,0
1005035,York Harbour,41600,2,11,175,170,0,0,...
1006001,"Division No.  6, Subd. D",36400,2,17,280,255,20,0,0
1006003,Norris Arm,56400,2,25,335,300,35,8,0
1006008,"Division No.  6, Subd. E",x,2,x,80,60,15,27,...
1006009,Gander,64000,2,11,5070,4850,220,1,13
1006011,Appleton,70500,2,15,270,255,15,6,0
1006012,Glenwood,44400,2,18,325,290,35,0,44
1006014,"Division No.  6, Subd. C",x,2,17,140,140,0,0,0
1006015,Northern Arm,72500,2,14,195,180,15,0,...
1006017,Grand Falls-Windsor,56800,2,17,6125,5790,330,3,23
1006019,Bishop's Falls,56400,2,20,1420,1335,80,1,6
1006021,Peterview,33600,3,34,280,255,25,0,31
1006022,Botwood,46000,2,23,1250,1165,90,2,11
1006026,Badger,58000,2,19,300,295,0,0,0
1006028,Millertown,x,2,x,55,55,0,0,...
1006029,"Division No.  6, Subd. A",x,2,x,35,25,0,0,...
1006031,Buchans,78500,2,23,335,310,25,14,67
1007001,"Division No.  7, Subd. M",44000,2,20,870,820,50,6,0
1007006,"Division No.  7, Subd. L",49600,2,18,525,480,40,4,0
1007009,"Division No.  7, Subd. K",40000,2,18,510,485,25,5,0
1007013,Clarenville,59600,2,15,2805,2735,70,2,25
1007014,"Division No.  7, Subd. J",40800,2,20,280,245,40,12,0
1007015,Trinity (Trinity Bay),x,2,x,35,30,10,0,...
1007016,Port Rexton,74000,2,27,160,145,20,0,...
1007018,"Division No.  7, Subd. I",x,2,x,50,40,10,0,...
1007020,Elliston,45200,2,20,160,150,10,0,0
1007022,Trinity Bay North,42400,2,24,775,745,30,6,38
1007023,Bonavista,46000,2,23,1470,1380,90,4,17
1007024,"Division No.  7, Subd. G",x,2,23,160,145,15,0,...
1007025,Keels,x,2,x,x,x,x,x,x
1007026,Duntara,x,x,x,x,x,x,x,x
1007027,King's Cove,x,2,x,50,50,0,0,...
1007028,"Division No.  7, Subd. F",35200,2,26,405,395,0,0,...
1007031,"Division No.  7, Subd. E",48800,2,19,1160,1060,100,6,24
1007032,Musgravetown,46800,2,20,260,255,0,0,55
1007036,Port Blandford,45600,2,16,255,245,0,0,...
1007037,Traytown,67500,2,15,170,165,0,0,...
1007038,"Division No.  7, Subd. D",x,2,15,110,100,0,0,...
1007039,Sandy Cove,x,2,x,45,45,0,0,...
1007040,Terra Nova,x,2,x,55,50,0,0,...
1007041,Happy Adventure,x,2,x,70,55,15,0,...
1007042,Eastport,x,2,18,260,250,15,0,47
1007043,Sandringham,x,2,x,110,105,0,0,...
1007044,Glovertown,54800,2,19,820,750,70,7,24
1007045,"Division No.  7, Subd. N",x,2,x,25,20,0,0,...
1007046,Salvage,x,2,x,55,45,10,0,...
1007047,Gambo,44800,2,21,805,740,65,6,48
1007048,St. Brendan's,x,2,x,60,55,0,0,...
1007049,Hare Bay,34000,2,29,405,360,45,11,57
1007050,Centreville-Wareham-Trinity,48400,2,22,500,460,40,9,29
1007051,"Division No.  7, Subd. B",x,2,x,x,x,x,x,x
1007054,Greenspond,...,2,11,120,110,15,0,...
1007056,"Division No.  7, Subd. A",x,2,x,55,50,0,0,...
1007057,Dover,32000,2,27,250,245,10,0,0
1007060,New-Wes-Valley,54400,2,15,905,860,50,5,21
1007067,Indian Bay,x,3,x,75,75,0,0,...
1008001,"Division No.  8, Subd. M",x,2,x,55,55,0,0,...
1008004,Lumsden,56800,2,11,240,225,10,0,0
1008006,Musgrave Harbour,64500,2,22,410,360,55,11,...
1008008,"Division No.  8, Subd. L",40400,2,27,1250,1155,100,3,37
1008011,Carmanville,51200,2,29,355,345,10,0,50
1008024,Change Islands,x,2,x,100,100,0,0,...
1008026,"Division No.  8, Subd. I",x,2,x,65,65,0,0,...
1008029,Crow Head,x,2,x,70,65,0,0,...
1008031,"Division No.  8, Subd. H",44400,2,28,830,750,80,6,29
1008032,Cottlesville,x,2,x,115,105,10,0,0
1008033,Summerford,55200,2,25,385,360,20,5,0
1008035,Twillingate,59600,2,21,1005,960,50,8,43
1008036,"Division No.  8, Subd. G",x,2,24,190,175,15,0,...
1008037,Campbellton,57200,2,18,215,175,40,8,0
1008038,Birchy Bay,40800,2,22,215,200,20,0,0
1008039,Comfort Cove-Newstead,x,2,26,165,160,0,0,...
1008040,Baytona,x,2,24,115,115,0,0,...
1008042,"Division No.  8, Subd. F",49600,2,25,345,315,30,0,0
1008043,Embree,40400,2,23,305,260,40,6,36
1008044,Lewisporte,50400,2,19,1430,1365,65,6,18
1008045,Little Burnt Bay,x,2,x,115,100,20,0,...
1008046,"Division No.  8, Subd. E",x,2,32,190,175,15,0,...
1008047,Point of Bay,x,2,x,55,55,0,0,...
1008048,Leading Tickles,49200,2,17,155,145,15,0,...
1008049,Point Leamington,39200,2,24,325,275,45,11,0
1008052,"Division No.  8, Subd. D",x,x,x,x,x,x,x,x
1008053,Pilley's Island,x,2,27,160,150,0,14,...
1008054,Triton,79500,2,19,390,370,15,0,0
1008055,Brighton,x,2,x,80,80,0,0,...
1008056,Lushes Bight-Beaumont-Beaumont North,x,2,x,100,95,0,0,...
1008058,"Division No.  8, Subd. C",44800,2,17,255,240,10,0,...
1008059,South Brook,48000,2,28,200,175,25,0,0
1008060,Robert's Arm,60000,2,22,350,330,25,11,31
1008061,Springdale,56400,2,22,1285,1205,75,0,14
1008062,Port Anson,x,2,x,x,x,x,x,x
1008063,Little Bay,x,2,x,40,40,0,0,...
1008064,Little Bay Islands,x,x,x,x,x,x,x,x
1008065,"Division No.  8, Subd. P",45200,2,25,155,120,30,13,...
1008066,Beachside,x,2,x,70,60,10,0,...
1008067,"Division No.  8, Subd. O",x,2,22,110,110,0,0,...
1008069,King's Point,42000,2,18,290,275,15,0,50
1008070,Nippers Harbour,x,2,x,x,x,x,x,x
1008071,Burlington,56000,3,22,125,110,20,0,...
1008072,Middle Arm,58400,3,24,190,175,20,0,...
1008073,Tilt Cove,x,x,x,x,x,x,x,x
1008074,"Division No.  8, Subd. A",x,2,21,145,140,10,0,...
1008075,Fleur de Lys,x,2,x,120,120,0,0,...
1008076,LaScie,45200,2,20,360,335,30,0,64
1008077,Brent's Cove,x,2,x,70,60,10,0,...
1008078,Pacquet,x,2,x,70,70,0,0,...
1008079,Baie Verte,56000,2,14,555,535,20,5,12
1008091,Seal Cove (White Bay),x,2,26,150,140,10,0,...
1008092,Coachman's Cove,x,2,x,55,45,15,0,...
1008093,Westport,x,2,x,80,60,20,0,...
1008095,Ming's Bight,x,2,12,130,125,10,0,...
1008096,Woodstock,x,2,x,100,90,10,0,...
1008098,Miles Cove,x,2,x,55,55,0,0,...
1008099,Fogo Island,59600,2,17,965,910,60,6,18
1009001,"Division No.  9, Subd. F",x,2,x,30,30,0,0,...
1009004,Englee,37200,2,30,210,190,15,0,...
1009007,Roddickton-Bide Arm,56400,2,23,375,350,30,0,25
1009008,Conche,x,2,x,75,75,0,0,...
1009009,"Division No.  9, Subd. A",x,2,x,55,55,0,0,...
1009010,Trout River,x,2,25,215,190,25,8,0
1009011,"Woody Point, Bonne Bay",x,2,x,140,125,20,0,...
1009012,Norris Point,51200,2,15,275,245,30,0,0
1009013,Rocky Harbour,60000,2,15,440,410,25,8,50
1009015,Daniel's Harbour,x,2,x,135,115,20,0,...
1009016,Cow Head,58400,2,14,185,170,15,0,0
1009017,Parson's Pond,...,2,27,180,175,0,0,0
1009018,Hawke's Bay,x,2,18,105,95,10,0,...
1009019,Port Saunders,64000,2,11,330,300,30,0,0
1009020,St. Pauls,x,2,x,85,65,20,0,...
1009021,"Division No.  9, Subd. C",56400,2,16,990,950,40,0,0
1009022,Port au Choix,44800,2,20,395,370,25,6,0
1009023,Anchor Point,x,3,14,130,130,0,0,...
1009024,Flower's Cove,x,2,x,125,110,10,0,0
1009026,Bird Cove,x,2,x,75,65,0,0,...
1009028,Main Brook,x,2,x,130,125,0,0,...
1009029,St. Anthony,57200,2,11,925,905,20,4,33
1009030,Glenburnie-Birchy Head-Shoal Brook,x,2,x,115,105,10,0,...
1009031,"Division No.  9, Subd. D",45600,2,20,240,220,20,0,...
1009032,St. Lunaire-Griquet,50800,2,16,290,280,15,0,...
1009034,Cook's Harbour,x,2,x,70,60,10,0,...
1009035,Raleigh,x,2,x,70,65,0,0,...
1009037,Sally's Cove,x,x,x,x,x,x,x,x
1009039,Goose Cove East,x,2,x,55,55,0,0,...
1009041,"Division No.  9, Subd. H",x,2,x,60,60,0,0,...
1009042,Bellburns,x,2,x,25,25,0,0,...
1009047,"Division No.  9, Subd. G",x,2,x,20,20,0,0,...
1009048,River of Ponds,x,2,x,75,75,0,0,...
1010001,"Division No. 10, Subd. A",x,2,x,35,35,0,0,...
1010002,L'Anse au Loup,61600,2,12,250,235,15,0,...
1010003,Red Bay,x,2,x,65,65,0,0,...
1010004,L'Anse-au-Clair,x,2,x,110,100,10,19,...
1010005,Forteau,54400,2,16,175,160,10,0,0
1010006,West St. Modeste,x,2,x,55,55,0,0,...
1010007,Pinware,x,2,x,25,25,0,0,...
1010008,"Division No. 10, Subd. B",x,2,x,90,80,15,0,...
1010009,Port Hope Simpson,68000,3,10,160,145,15,7,50
1010010,St. Lewis,x,3,x,70,65,10,15,0
1010011,Mary's Harbour,66500,3,8,120,110,15,9,...
1010012,"Cartwright, Labrador",62400,2,12,205,160,45,16,22
1010013,Charlottetown (Labrador),75500,3,8,115,105,0,10,0
1010020,"Division No. 10, Subd. C",x,2,x,25,20,0,0,...
1010022,North West River,68500,2,9,245,235,10,7,25
1010025,Happy Valley-Goose Bay,71000,3,8,3065,2895,175,2,6
1010029,"Division No. 10, Subd. D",128000,3,3,290,285,0,0,0
1010032,Labrador City,116000,2,5,3070,2895,175,0,6
1010034,Wabush,109000,3,3,810,775,30,0,0
1010042,"Division No. 10, Subd. E",x,x,x,x,x,x,x,x
1010801,Natuashish 2,49200,4,9,195,110,85,...,...
1010802,Sheshatshiu 3,58800,4,20,340,280,60,...,...
1011005,"Division No. 11, Subd. C",x,x,x,x,x,x,x,x
1011010,Rigolet,63600,3,27,125,80,45,33,0
1011015,Postville,x,3,x,75,55,15,14,0
1011020,Makkovik,69000,3,14,145,105,35,13,0
1011030,Hopedale,47600,3,31,195,150,50,26,25
1011035,Nain,59600,3,18,245,180,65,22,33
1011040,"Division No. 11, Subd. E",x,x,x,x,x,x,x,x
1101002,Murray Harbour,x,2,14,145,130,10,0,0
1101003,Murray Harbour,55200,2,15,275,250,25,14,...
1101004,Murray River,33200,2,22,145,120,25,18,0
1101005,"Murray River, Part 1",47600,2,16,570,505,65,4,0
1101020,Cardigan,x,3,x,45,40,0,0,...
1101025,Central Kings,x,3,x,65,60,0,0,...
1101027,Central Kings,40400,3,22,170,160,10,0,...
1101030,Annandale - Little Pond - Howe Bay,x,2,x,95,95,0,0,...
1101033,Souris West,55200,2,7,160,150,15,0,0
1101035,Souris,48400,2,12,745,665,75,11,0
1101036,Souris,45200,2,26,480,450,30,7,15
1101037,St. Peters,39600,2,20,270,240,30,0,0
1101040,Eastern Kings,58000,2,13,260,250,10,0,0
1101043,Morell,46000,2,10,515,470,45,9,0
1101044,St. Peters Bay,x,2,x,110,105,0,0,0
1101045,Three Rivers,48000,2,17,3280,2960,320,9,25
1101048,Morell,57200,2,12,120,115,0,0,...
1101050,Morell 2,x,x,x,x,x,x,x,x
1101052,"East River, Part 2",48800,3,11,225,195,30,0,0
1102002,Belfast,49200,2,15,675,610,70,5,0
1102003,"Murray River, Part 2",x,2,x,45,35,10,0,...
1102005,Montague,x,3,x,30,30,0,0,...
1102010,Crossroads,59200,3,9,720,650,70,2,0
1102011,Hazelbrook,x,3,x,85,80,0,0,...
1102013,Alexandra,52000,3,9,100,100,0,0,0
1102015,Johnstons River,54800,3,10,140,135,0,0,0
1102016,Vernon River,52400,3,11,890,810,85,0,0
1102017,New Glasgow,56000,3,11,1700,1550,150,5,14
1102018,"Crapaud, Part 1",51200,2,13,660,595,65,4,0
1102019,North Rustico,51600,2,9,140,130,10,0,0
1102020,North Wiltshire,x,3,x,85,80,10,0,...
1102021,Hampshire,48400,3,7,135,125,10,0,0
1102022,Kingston,58000,3,5,395,355,40,0,0
1102030,Rocky Point 3,x,3,x,20,15,0,...,...
1102032,Victoria,x,2,x,50,50,0,0,...
1102034,Crapaud,40800,2,17,120,100,20,0,33
1102035,Darlington,x,3,x,45,45,0,0,...
1102037,Clyde River,59600,2,8,260,255,10,0,0
1102040,Miltonvale Park,51200,2,11,485,445,40,4,0
1102043,Hunter River,39200,2,18,175,150,25,0,0
1102045,"Stanley Bridge, Hope River, Bayview, Cavendish and North Rustico",71000,2,16,135,110,25,13,...
1102046,North Rustico,38400,2,20,320,310,10,10,24
1102050,Union Road,x,3,x,85,70,15,0,...
1102051,Breadalbane,x,3,x,70,60,0,0,...
1102055,Brackley,58400,3,8,235,210,25,0,0
1102057,Scotchfort 4,x,3,x,75,55,15,...,...
1102059,Mount Stewart,x,2,x,110,95,20,0,0
1102061,York,48400,3,5,150,145,0,0,0
1102064,"East River, Part 1",54800,3,9,915,840,70,0,0
1102066,"Kensington, Part 2",50000,3,11,230,215,20,10,...
1102067,North Shore,58800,3,7,980,910,70,0,0
1102068,West River,60800,3,9,1340,1265,75,0,0
1102069,Winsloe North,54400,3,8,125,115,10,0,...
1102070,Warren Grove,57600,3,7,135,130,0,0,0
1102071,New London,58400,2,8,635,580,55,5,0
1102072,North River,x,3,x,65,65,0,0,...
1102073,North Shore,60400,3,7,555,490,65,0,22
1102075,Charlottetown,52400,2,17,17185,16210,975,3,14
1102080,Stratford,64000,3,10,4295,4160,135,2,8
1102085,Cornwall,58000,3,10,2640,2555,90,1,8
1103002,Borden,56400,3,8,295,260,30,0,0
1103003,Kinkora,60000,2,10,540,500,40,4,0
1103004,"Crapaud, Part 2",49200,3,15,225,205,20,0,...
1103005,Borden-Carleton,45200,2,13,355,295,60,6,0
1103007,Malpeque Bay,55200,2,10,520,480,40,4,0
1103008,Kinkora,52000,2,11,155,150,10,0,0
1103014,Kensington,52000,2,17,865,780,85,5,13
1103015,Bedeque and Area,54000,3,14,115,80,35,0,0
1103018,Sherbrooke,x,2,x,85,85,0,0,0
1103020,Wellington,50400,2,12,780,700,75,0,0
1103021,Tyne Valley,56400,3,9,270,245,25,6,...
1103022,St. Nicholas,x,3,x,80,70,10,0,...
1103023,Linkletter,53200,2,15,135,110,25,0,...
1103024,Miscouche,52400,3,10,385,365,15,0,0
1103025,Summerside,49200,2,16,7090,6630,460,2,14
1103027,Abram-Village,44000,2,10,170,160,0,0,0
1103029,Wellington,51600,2,17,220,205,20,0,0
1103033,Tyne Valley,x,2,x,90,90,0,0,0
1103035,Lennox Island 1,38800,3,26,110,70,40,...,...
1103039,Lot 11 and Area,45200,2,14,235,225,10,12,0
1103040,Miscouche,49600,3,16,345,330,15,0,0
1103042,O'Leary,34000,2,30,380,340,35,14,23
1103043,Central Prince,48400,3,18,455,400,60,6,30
1103050,Northport,x,2,x,80,80,0,0,...
1103052,Alberton,47600,2,21,560,530,25,0,31
1103053,St. Felix,46000,3,8,130,115,10,0,0
1103055,Greenmount-Montrose,41600,3,10,115,95,15,0,...
1103057,St. Louis,x,2,x,35,30,0,0,...
1103059,Tignish,42800,2,18,335,310,30,0,11
1103060,Tignish Shore,x,2,x,30,25,10,0,...
1103061,Tignish,46800,3,9,695,665,30,3,0
1103062,Miminegash,x,2,x,60,55,0,0,...
1103063,Miminegash,42000,2,17,455,430,25,5,0
1103064,Alberton,50800,3,9,905,845,55,4,0
1103065,O'Leary,43600,3,13,1030,955,80,6,0
1103066,West Point,x,2,x,75,60,15,0,...
1103067,"Kensington, Part 1",54000,3,10,1235,1115,125,4,23
